productCode,prodName,productTypeNo,productTypeName,productGroupName,garmentGroupNo,garmentGroupName,detailDesc
266875,Sportsneaker 3p socks,302,Socks,Socks & Tights,1021,Socks and Tights,"Lightweight, unlined liner socks in fast-drying functional fabric with reinforcement at the toes and heels."
270375,Sandra squared,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses."
270381,Clubba sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses."
278811,Hilly Biker 2pk LT,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Shaping bikers in microfibre with a high waist, lined gusset, longer legs and laser-cut edges. Light shaping effect on the waist, bum and hips."
282832,Kevin softshell jacket (1),262,Jacket,Garment Upper body,1007,Outdoor,"Softshell jacket in water-repellent functional fabric. Hood with an elastic drawstring and small peak, and a zip down the front with a chin guard. Chest pocket with a zip and earphone outlet on the inside, zipped side pockets, elastication at the cuffs and an elastic drawstring at the hem. Thermal fleece inside. Size of chest pocket approx. 12x17 cm."
293433,2-p basic cotton tights SG,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist."
293510,2-p basic cotton tights BG,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Fine-knit tights with an elasticated waist.
294008,HM+ Cora tee,277,Costumes,Garment Full body,1005,Jersey Fancy,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
294076,Skinny Shaping,272,Trousers,Garment Lower body,1009,Trousers,"Shaping. Jeans in washed denim with technical stretch that holds in and shapes the hips, thighs and seat while keeping the jeans in shape. Fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
296476,DIVA ROBE,305,Robe,Underwear,1017,"Under-, Nightwear","Dressing gown in soft, patterned fleece with a hood, side pockets and tie belt at the waist."
297067,Small dot 1p Tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Flock-print tights with an elasticated waist.
297078,Heavy Chain 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Textured-knit tights with an elasticated waist.
299768,Peder knitted glove,71,Gloves,Accessories,1019,Accessories,Gloves in a fine-knit wool blend with a Thinsulate™ lining.
300024,Super skinny denim,272,Trousers,Garment Lower body,1009,Trousers,"Jeans in washed stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
300908,Freja Coat,262,Jacket,Garment Upper body,1007,Outdoor,"Double-breasted coat in soft fabric with wide shawl lapels and concealed press-studs down the front. One inner pocket, a tab at the back and an asymmetric hem. Lined."
301227,10pk basic R socks,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit socks.
301656,Shirtdress Lou,265,Dress,Garment Full body,1016,Trousers Denim,"Long, straight-cut shirt in soft Tencel™ lyocell denim with a collar and buttons down the front. Chest pockets with a pleat, and long sleeves with buttoned cuffs."
304778,Cosy 1p Lounge sock,302,Socks,Socks & Tights,1021,Socks and Tights,"Long, thick socks in a jacquard knit with a pile lining."
304786,Traditional 2p Heavy Socks,302,Socks,Socks & Tights,1021,Socks and Tights,"Socks in a soft, fine knit containing some wool and glittery threads."
305304,Boy Denim Shorts,274,Shorts,Garment Lower body,1025,Shorts,"5-pocket, low-rise shorts in washed denim with hard-worn details, a button fly and sewn-in turn-ups at the hems."
305775,Lurex tights SG,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.
305931,Fake 1p Leggings,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Leggings in imitation leather with an elasticated waist.
307239,Hilly Brief 2pk LT,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Shaping briefs in microfibre with a high waist, laser-cut edges and lined gusset. The briefs have a light shaping effect on the waist, bum and hips."
307656,Maria Shorts,274,Shorts,Garment Lower body,1002,Jersey Basic,Short shorts in sweatshirt fabric with an elasticated drawstring waist and sewn-in turn-ups at the hems.
309864,Skinny Cheapo 89,272,Trousers,Garment Lower body,1016,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems."
312543,Biker Leggings (1),273,Leggings/Tights,Garment Lower body,1013,Dresses Ladies,"Low-rise leggings in stretch imitation leather with quilted details on the knees. Fake pockets with decorative zips, and a visible zip fastening at the front."
312878,Pablo coat,263,Coat,Garment Upper body,1007,Outdoor,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled."
315509,Wolf Scarf,80,Scarf,Accessories,1019,Accessories,Scarf in a soft weave with fringes on the short sides. Size 50x180 cm.
315795,Braces Tweed 3-Clip,78,Other accessories,Accessories,1019,Accessories,Adjustable braces in herringbone-patterned elastic with metal fasteners and imitation leather details.
316085,Peggy polo,257,Polo shirt,Garment Upper body,1002,Jersey Basic,Fitted polo-neck top in ribbed jersey with long sleeves.
316441,Lee (1),254,Top,Garment Upper body,1002,Jersey Basic,Long-sleeved top in soft jersey.
318035,Classic Clear umbrella,83,Umbrella,Accessories,1019,Accessories,"Umbrella in transparent, printed plastic with a plastic handle. Length 77 cm."
318066,KIMBERLY Braided Headband,75,Hat/beanie,Accessories,1019,Accessories,Braided headband in a soft knit.
318951,Basic LS t-shirt,255,T-shirt,Garment Upper body,1002,Jersey Basic,"Long-sleeved top in soft, organic cotton jersey with a chest pocket and a press-stud on one shoulder (sizes 1-4Y without a press-stud)."
322017,Mini Umbrella,532,Umbrella,Items,1019,Accessories,Small umbrella with a telescopic handle and a fabric wrist strap. Size 7x15.5 cm folded.
322322,Beanie Pelle wool mix,75,Hat/beanie,Accessories,1019,Accessories,"Hat in a soft, rib-knit wool and nylon blend."
324502,Hawlin Headband,75,Hat/beanie,Accessories,1019,Accessories,Headband in a soft knit containing some wool with a draped detail at the front. Width 10 cm.
324946,Control Top 200 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 200 denier.
324963,Classic PU sunglasscase,78,Other accessories,Accessories,1019,Accessories,Glasses case in imitation leather with an imitation suede lining. Flap with a reinforced front and press-stud fastening. Size 6x16 cm.
325087,Kelly (Melbourne) PUSH 2p,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back."
325542,Nina Nightshirt (W),305,Robe,Underwear,1017,"Under-, Nightwear","Long nightshirt in soft cotton flannel with notch lapels, a chest pocket, buttons down the front, buttoned cuffs, and a rounded hem. Slightly longer at the back."
327310,Alicia wrap skirt,275,Skirt,Garment Lower body,1012,Skirts,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist."
327821,MALAGA 2-P,273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Leggings in soft organic cotton jersey with an elasticated waist.
333323,Basic rolltops 3PACK,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit socks in a soft cotton blend with a foldover shaft. (Sizes 3-9 with anti-slip protectors.) The socks are made partly from organic cotton.
337777,Easy iron L/S shirt  TP,259,Shirt,Garment Upper body,1011,Shirts,Long-sleeved shirt in woven fabric with a turn-down collar and chest pocket. Easy-iron finish.
337991,Sigge Dressed Belt,67,Belt,Accessories,1019,Accessories,Leather belt with a metal buckle. Width 3 cm.
338400,Hilly Thong 2pk,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","High-waisted briefs in microfibre with a laser-cut edges, a lined gusset and string back. The briefs have a light sculpting effect on the tummy, waist and hips."
341242,Dave waistcoat,260,Tailored Waistcoat,Garment Upper body,1008,Dressed,"Suit waistcoat in woven fabric with lining fabric at the back. Buttons at the front, a chest pocket, welt front pockets and an adjustable tab at the back. Lined."
341452,Venice molly padded softbra,306,Bra,Underwear,1017,"Under-, Nightwear","Soft, non-wired bra in lace and microfibre with lightly padded, moulded cups that shape the bust and provide good support. Narrow, adjustable shoulder straps, a wide lace trim at the hem, and a wide strap with three pairs of hooks and eyes at the back."
341782,RILEY T-SHIRT,255,T-shirt,Garment Upper body,1005,Jersey Fancy,T-shirt in soft jersey with raw edges.
342060,Heavy plain Overknee 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Tights that look like a pair of over-the-knee socks with an elasticated waist.
344956,Flirty Romi waterbottle,78,Other accessories,Accessories,1019,Accessories,Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml.
345922,Erling Necktube,80,Scarf,Accessories,1019,Accessories,"Tube scarf in a soft rib knit. Width 30 cm, circumference approx. 125 cm."
347200,Bo Dressed Belt,67,Belt,Accessories,1019,Accessories,Leather belt with a metal buckle. Width 3 cm.
347975,2PACK SS Body TVP,256,Bodysuit,Garment Upper body,1002,Jersey Basic,Short-sleeved bodysuits in organic cotton jersey with press-studs on one shoulder and at the crotch.
348330,Tanktop body Mixed 2p,256,Bodysuit,Garment Upper body,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
349080,Block 1p Overknee,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Control-top tights that look like over-the-knee socks and shape the tummy and bum.
349301,GLASSIG ESPADRILLE,86,Ballerinas,Shoes,1020,Shoes,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.
350911,Bowtie Kalle,82,Tie,Accessories,1019,Accessories,Pre-tied bow tie in a satin weave with an adjustable strap and fastening at the back. Width 11 cm.
351462,LAZER RAZER bandeau,298,Bikini top,Swimwear,1018,Swimwear,"Fully lined bikini top with laser-cut scalloped edges. The top has lightly padded cups with removable inserts, side support, a silicone trim at the top, detachable ties at the neck and a metal fastener at the back."
351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351933,Kelly Lace Padded Idro 2p,306,Bra,Underwear,1017,"Under-, Nightwear","Bras in cotton jersey with lace details and underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back."
355072,Anita Tank (1),253,Vest top,Garment Upper body,1002,Jersey Basic,Fitted vest top in soft jersey.
355307,Moa tanktop,253,Vest top,Garment Upper body,1002,Jersey Basic,Fitted vest top in soft stretch jersey.
355569,Nicky Long,253,Vest top,Garment Upper body,1002,Jersey Basic,"Long, fitted jersey top with narrow adjustable shoulder straps."
356289,JESSY SKIRT,275,Skirt,Garment Lower body,1012,Skirts,Short skater skirt in soft fabric. Unlined.
357751,Basic Endless hoop,70,Earring,Accessories,1019,Accessories,Metal earrings in various sizes. Diameter from 2.3 cm to 7.6 cm.
357792,Alessa cat sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with plastic frames, metal side pieces and UV-protective, tinted lenses."
358483,Stressan light knit jumper,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in a light, fine, soft knit with long sleeves, raw edges and a rounded hem. Slightly longer at the back."
359504,Viola trs (W),296,Pyjama bottom,Nightwear,1017,"Under-, Nightwear","Patterned pyjama bottoms in a soft, airy cotton weave with an elasticated drawstring waist and wide, straight legs."
365439,Lawrence training sock,302,Socks,Socks & Tights,1019,Accessories,Sports socks in fast-drying functional fabric with ventilating hole-knit sections over the feet. The polyester content of the socks is recycled.
368038,Biq Square Claw,72,Hair clip,Accessories,1019,Accessories,Plastic hair claw. Width 4.5 cm.
369796,John sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with metal frames and UV-protective, tinted lenses."
370594,Saya sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with transparent plastic frames and UV-protective, tinted lenses."
372008,Halter,253,Vest top,Garment Upper body,1002,Jersey Basic,Gently flared vest top in jersey with a sheen. Narrow shoulder straps that cross at the back. Lined at the top.
372860,7p Basic Shaftless,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
373506,Trainer 3p sock,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit liner socks designed to be hidden inside your shoes. The socks have a ribbed section in the middle of the foot and elastication around the openings for optimum comfort.
375585,Sigge shorts,272,Trousers,Garment Lower body,1002,Jersey Basic,"Shorts in sweatshirt fabric with an elasticated drawstring waist, side pockets, one back pocket and raw-edge hems."
376172,Karla sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Round sunglasses with plastic frames and UV-protective, tinted lenses."
377277,Svea Cropped Tank,253,Vest top,Garment Upper body,1002,Jersey Basic,"Short, fitted jersey top with narrow shoulder straps."
377436,Flirty Real flower shell,78,Other accessories,Accessories,1019,Accessories,Smartphone case in transparent plastic with pressed flowers. Fits iPhone 6-8.
378135,R-Neck Pisa TVP R,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem."
378447,V-Neck Milan TVP,252,Sweater,Garment Upper body,1003,Knitwear,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem."
381038,Cori cropped hood,308,Hoodie,Garment Upper body,1002,Jersey Basic,Cropped top in soft sweatshirt fabric with a drawstring hood and long sleeves with ribbed cuffs. Soft brushed inside.
383152,Henric Superpush,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bra in microfibre and satin with underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Narrow, adjustable shoulder straps and a narrow fastening at the back with two pairs of hooks and eyes."
383569,SPEED Pavlova dress,265,Dress,Garment Full body,1005,Jersey Fancy,"Sleeveless, knee-length dress in pleated jersey with a V-neck and crossover, decorative straps at the back. Narrow elasticated seam at the waist and gently flared skirt. Unlined."
384851,Sage Shorts,274,Shorts,Garment Lower body,1002,Jersey Basic,"Short shorts in sweatshirt fabric with an elasticated drawstring waist, back pocket and contrasting colour trims."
386463,Cool Betty earring pk,70,Earring,Accessories,1019,Accessories,"Flat, round earrings in various designs. Diameter 1.3 cm."
386678,Big Arjuna crossbag,66,Bag,Accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, adjustable shoulder strap, flap with a zip, and a zipped inner compartment. Lined. Size 8x18x23 cm."
386681,Mini cross bag,66,Bag,Accessories,1019,Accessories,Small bag with a narrow shoulder strap and a zip at the top. Lined. Size 16x22 cm.
387348,Thales printed tanktop,253,Vest top,Garment Upper body,1005,Jersey Fancy,"Running vest top in printed, fast-drying functional fabric."
390512,Haddock Beanie,75,Hat/beanie,Accessories,1019,Accessories,Hat in a soft rib knit containing some wool.
392220,Tie Mini Dot,82,Tie,Accessories,1019,Accessories,Narrow tie in satin with jacquard-weave spots. Width 5.5 cm.
392269,CORBY TANK,253,Vest top,Garment Upper body,1005,Jersey Fancy,"Vest top in soft, marled jersey with a chest pocket and raw, roll edges around the neckline and armholes."
392938,TD Hugo Stretch PQ,259,Shirt,Garment Upper body,1011,Shirts,"Shirt in a stretch premium cotton blend with a narrow turn-down collar, French front and long sleeves with adjustable buttoning at the cuffs. Shaping seams at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist to create a fitted silhouette."
393447,Leia Parka,262,Jacket,Garment Upper body,1007,Outdoor,"Long, padded parka in cotton twill with a drawstring hood and stand-up collar with a press-stud. Zip and button band with press-studs down the front, flap side pockets with a press stud, and a drawstring at the waist. Elasticated cuffs and a gently rounded hem. Slightly longer at the back. Lined."
393772,Sonny Pants.,272,Trousers,Garment Lower body,1009,Trousers,"Joggers in cotton twill with an elasticated drawstring waist, fake fly, side pockets and welt back pockets. Low crotch and tapered legs with gathered seams and a zip at the hems."
395127,CA Gustavsberg TVP,259,Shirt,Garment Upper body,1011,Shirts,"Shirt in premium cotton with a cutaway collar, French front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Varying pattern on the inside of the cuffs and collar stand. Slim Fit – a fit with narrow shoulders and a tapered waist for a fitted silhouette."
395575,Emily Brief,286,Underwear bottom,Underwear,1017,"Under-, Nightwear","Shaping briefs in sturdy microfibre with a sculpting effect on the waist, hips and bum. High waist, a lined gusset and wide lace at the sides."
395658,MIA,272,Trousers,Garment Lower body,1002,Jersey Basic,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.
396135,Glamping,274,Shorts,Garment Lower body,1002,Jersey Basic,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems."
397068,Skinny L.W Bargain (1),272,Trousers,Garment Lower body,1016,Trousers Denim,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.
397688,R.W Shorts Cut Off,274,Shorts,Garment Lower body,1025,Shorts,"5-pocket shorts in washed denim with hard-worn details, a regular waist, button fly and raw-edge hems."
398074,Sara 3/4,255,T-shirt,Garment Upper body,1005,Jersey Fancy,Top in soft organic cotton jersey with 3/4-length sleeves and gathers in the side seams for best fit.
399061,Jacket Slim,262,Jacket,Garment Upper body,1007,Outdoor,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets."
399087,Super Skinny L.W Epic,272,Trousers,Garment Lower body,1016,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs."
399136,Shaping Skinny R.W.,272,Trousers,Garment Lower body,1016,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
399201,Shaping Skinny H.W,272,Trousers,Garment Lower body,1016,Trousers Denim,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape."
